"File","RunKind","Rows","SizeBytes","LastWriteTimeUtc","SHA256"
"claude-haiku-4-5-20251001__primary__baseline__r1.jsonl","primary","7738","4364999","2026-08-28T05:38:12.4054160Z","E0DAE2BFC843A2369206FF2298616F059B38B9F83413CEB837B9CAE6C5E9CF9F"
"claude-haiku-4-5-20251001__primary__safety__r1.jsonl","primary","7738","4376665","2026-08-28T08:16:49.6162782Z","E5C30473DCB6AD78BB1F4E7E60E541D2597A811911538F4A6331328262560C1C"
"claude-haiku-4-5-20251001__stochastic__baseline__r1.jsonl","stochastic","4000","2710758","2026-08-29T04:22:33.7606434Z","171A855100B5CCE283B5D282943638F2395D4BDA0CB74D2F259AC062F1519D4F"
"claude-haiku-4-5-20251001__stochastic__baseline__r2.jsonl","stochastic","4000","2712649","2026-08-29T05:51:00.6197585Z","572486088DFDDC2C4E39904169DA785368EF20F369DB291C7B5B621543E84B04"
"claude-haiku-4-5-20251001__stochastic__baseline__r3.jsonl","stochastic","4000","2712289","2026-08-29T07:20:40.9095101Z","9C706A49C5754BD0ABDFDDB3590E60D4DAD7B821D2733243BF6033B56D88F24F"
"claude-haiku-4-5-20251001__stochastic__safety__r1.jsonl","stochastic","4000","2730475","2026-08-29T08:49:21.8016892Z","19161BC6535B592C630879F16C683AB2CF17EFEE6A5E0DCFF2ADF66CE0127D52"
"claude-haiku-4-5-20251001__stochastic__safety__r2.jsonl","stochastic","4000","2730997","2026-08-29T10:18:34.4353709Z","B7331B2BE8624167250E42171E82A3A84AF9F1E8F1FDBE50ACF9300EC8AAD7FA"
"claude-haiku-4-5-20251001__stochastic__safety__r3.jsonl","stochastic","4000","2729652","2026-08-29T11:47:47.7032627Z","A9E82C9B190D7AE7A3D08F6743825CC4CB4BE562DD6AC217E0B97F5FA2C0A04D"
"gpt-4.1-mini__primary__baseline__r1.jsonl","primary","7738","4058532","2026-08-28T00:47:44.6285679Z","D70733C2059D1FF90FBDBACF9A9A38569C3A2E70EA5D62BD81042E3FF78BC7DE"
"gpt-4.1-mini__primary__safety__r1.jsonl","primary","7738","4259763","2026-08-28T03:00:42.3359729Z","92E84FA0F3D583283BA7B3124B684B37C52B42632540A59C3D5973355BC80F03"
"gpt-4.1-mini__stochastic__baseline__r1.jsonl","stochastic","4000","2664392","2026-08-28T19:14:44.5695753Z","C4E3D5C676EE98A88F79F0DDEF0B4172C9D315D4FBC5AF09F0A20F23D59FDB6F"
"gpt-4.1-mini__stochastic__baseline__r2.jsonl","stochastic","4000","2664399","2026-08-28T20:36:29.4350922Z","482756F88FB879D53B88EDD1E7E16B97C9AD2CB88F072EA134687FF9F68F9A06"
"gpt-4.1-mini__stochastic__baseline__r3.jsonl","stochastic","4000","2664973","2026-08-28T21:58:32.7145143Z","0C3379B8E8AB96AD6092E55CD10FC362B96C309198839667FE21923A5158263A"
"gpt-4.1-mini__stochastic__safety__r1.jsonl","stochastic","4000","2693171","2026-08-29T00:15:50.3555950Z","2237BA5CC6BFD4CBE7FA5E757741517CDFBB40A8BCCE3026F95A8EB170D728DB"
"gpt-4.1-mini__stochastic__safety__r2.jsonl","stochastic","4000","2690614","2026-08-29T01:36:13.1943572Z","7C6CDB914476E42C4E913CF8C0B6EF46F42DFC76878F4CB9EB202475BBFA7138"
"gpt-4.1-mini__stochastic__safety__r3.jsonl","stochastic","4000","2691085","2026-08-29T02:53:07.0861661Z","9A59761C2FFEE89A3A6714D02052284C7AB3901BF45AA21BE6BAFBDD5DF5CCBB"
"llama3.1_8b__primary__baseline__r1.jsonl","primary","7738","3673911","2026-08-27T15:06:47.6233420Z","ABF0272DDAC700BF1F53FA2BDD088340F05D212F552AEB64AB825A2969E40892"
"llama3.1_8b__primary__safety__r1.jsonl","primary","7738","3791720","2026-08-27T16:06:55.3090551Z","B66E1F51E8A96DC419A0A6A107FF2448661187F50E31F494E8B7E0A5705C7118"
