"RelativePath","FileName","SizeBytes","LastWriteTimeUtc","Algorithm","SHA256"
"responses_v8\main\claude-haiku-4-5-20251001__primary__baseline__r1.jsonl","claude-haiku-4-5-20251001__primary__baseline__r1.jsonl","4364999","2026-08-28T05:38:12.4054160Z","SHA256","E0DAE2BFC843A2369206FF2298616F059B38B9F83413CEB837B9CAE6C5E9CF9F"
"responses_v8\main\claude-haiku-4-5-20251001__primary__safety__r1.jsonl","claude-haiku-4-5-20251001__primary__safety__r1.jsonl","4376665","2026-08-28T08:16:49.6162782Z","SHA256","E5C30473DCB6AD78BB1F4E7E60E541D2597A811911538F4A6331328262560C1C"
"responses_v8\main\claude-haiku-4-5-20251001__stochastic__baseline__r1.jsonl","claude-haiku-4-5-20251001__stochastic__baseline__r1.jsonl","2710758","2026-08-29T04:22:33.7606434Z","SHA256","171A855100B5CCE283B5D282943638F2395D4BDA0CB74D2F259AC062F1519D4F"
"responses_v8\main\claude-haiku-4-5-20251001__stochastic__baseline__r2.jsonl","claude-haiku-4-5-20251001__stochastic__baseline__r2.jsonl","2712649","2026-08-29T05:51:00.6197585Z","SHA256","572486088DFDDC2C4E39904169DA785368EF20F369DB291C7B5B621543E84B04"
"responses_v8\main\claude-haiku-4-5-20251001__stochastic__baseline__r3.jsonl","claude-haiku-4-5-20251001__stochastic__baseline__r3.jsonl","2712289","2026-08-29T07:20:40.9095101Z","SHA256","9C706A49C5754BD0ABDFDDB3590E60D4DAD7B821D2733243BF6033B56D88F24F"
"responses_v8\main\claude-haiku-4-5-20251001__stochastic__safety__r1.jsonl","claude-haiku-4-5-20251001__stochastic__safety__r1.jsonl","2730475","2026-08-29T08:49:21.8016892Z","SHA256","19161BC6535B592C630879F16C683AB2CF17EFEE6A5E0DCFF2ADF66CE0127D52"
"responses_v8\main\claude-haiku-4-5-20251001__stochastic__safety__r2.jsonl","claude-haiku-4-5-20251001__stochastic__safety__r2.jsonl","2730997","2026-08-29T10:18:34.4353709Z","SHA256","B7331B2BE8624167250E42171E82A3A84AF9F1E8F1FDBE50ACF9300EC8AAD7FA"
"responses_v8\main\claude-haiku-4-5-20251001__stochastic__safety__r3.jsonl","claude-haiku-4-5-20251001__stochastic__safety__r3.jsonl","2729652","2026-08-29T11:47:47.7032627Z","SHA256","A9E82C9B190D7AE7A3D08F6743825CC4CB4BE562DD6AC217E0B97F5FA2C0A04D"
"responses_v8\main\gpt-4.1-mini__primary__baseline__r1.jsonl","gpt-4.1-mini__primary__baseline__r1.jsonl","4058532","2026-08-28T00:47:44.6285679Z","SHA256","D70733C2059D1FF90FBDBACF9A9A38569C3A2E70EA5D62BD81042E3FF78BC7DE"
"responses_v8\main\gpt-4.1-mini__primary__safety__r1.jsonl","gpt-4.1-mini__primary__safety__r1.jsonl","4259763","2026-08-28T03:00:42.3359729Z","SHA256","92E84FA0F3D583283BA7B3124B684B37C52B42632540A59C3D5973355BC80F03"
"responses_v8\main\gpt-4.1-mini__stochastic__baseline__r1.jsonl","gpt-4.1-mini__stochastic__baseline__r1.jsonl","2664392","2026-08-28T19:14:44.5695753Z","SHA256","C4E3D5C676EE98A88F79F0DDEF0B4172C9D315D4FBC5AF09F0A20F23D59FDB6F"
